course,ISBN,title,author
ENGL-347,9780415107280,Henry VIII and the English Reformation,David G Newcombe
ENGL-347,9780226504650,Elizabeth I: Collected Works,"Leah S. Marcus, Janel Mueller, Mary Beth Rose (Editors)"
ENGL-347,9780312542542,A Pocket Style Manual,"Diana Hacker, Nancy Sommers"
ENGL-347,9781904271598,The Tragedy of Mariam,Elizabeth Cary
ENGL-351,9780321886514,The Complete Works of Shakespeare,David Bevington
ENGL-355,9780822202035,Children of a Lesser God,Mark Medoff
ENGL-355,9780820321042,Running a Thousand Miles for Freedom,"William Craft, Ellen Craft"
ENGL-355,9781400032716,The Curious Incident of the Dog in the Night-Time,Mark Haddon
ENGL-355,9780743279789,Girls of Tender Age: A Memoir,Mary-Ann Tirone Smith
ENGL-355,9781416549017,Born On A Blue Day: Inside the Extraordinary Mind of an Autistic Savant,Daniel Tammet
ENGL-355,9780307474841,Precious,Sapphire
ENGL-355,9780061743528,To Kill a Mockingbird,Harper Lee
ENGL-355,9780807073315,Mean Little deaf Queer: A Memoir,Terry Galloway
ENGL-355,9780307740915,Home,Toni Morrison
ENGL-355,9780743236720,"Far From the Tree: Parents, Children and the Search for Identity",Andrew Solomon
ENGL-355,9781439164655,Left Neglected,Lisa Genova
ENGL-401,9780226472034,Critical Terms for Literary Study,"Frank Lentricchia, Thomas McLaughlin"
ENGL-401,9780393972856,The Selected Writings of Edgar Allan Poe,G.R. Thompson (Editor)
ENGL-401,9780312415204,The Critical Tradition: Classic Texts and Contemporary Trends,David H. Richter
ENGL-414,9780141439846,Dracula,Bram Stoker
ENGL-414,9780141439662,Sense and Sensibility,Jane Austen
ENGL-414,9780743477123,Hamlet,William Shakespeare
ENGL-414,9780141439556,Wuthering Heights,Emily Brontë
ENGL-414,9780451531490,"Le Morte D'Arthur: King Arthur and the Legends of the Round Table",Sir Thomas Malory
ENGL-468,9780316184137,The Complete Poems of Emily Dickinson,Thomas H. Johnson (Editor)
ENGL-468,9780674250703,Emily Dickinson: Selected Letters,Thomas H. Johnson (Editor)
ENGL-468,9780393974966,Leaves of Grass and Other Writings,Walt Whitman
ENGL-492,9780307277602,"Like You'd Understand, Anyway",Jim Shepard
ENGL-492,9781555975081,Burning Down the House: Essays on Fiction,Charles Baxter
ENGL-494,9780691014050,Erosion,Jorie Graham
ENGL-494,9781882295555,"Here, Bullet",Brian Turner
ENGL-494,9780374530969,Life Studies and For the Union Dead,Robert Lowell
ENGL-494,9781555975845,Life on Mars: Poems,Tracy K. Smith
ENGL-494,9780547571607,Thrall: Poems,Natasha Trethewey
ENGL-495,9781400030651,A Fine Balance,Rohinton Mistry
ENGL-495,9780812976533,"Midnight's Children",Salman Rushdie
ENGL-495,9780812979657,The God of Small Things: A Novel,Arundhati Roy
ENGL-498,9780226065663,The Craft of Research,"Wayne C. Booth, Gregory G. Colomb, Joseph M. Williams"
ENGL-801,9780226472034,Critical Terms for Literary Study,"Frank Lentricchia, Thomas McLaughlin"
ENGL-801,9780393972856,The Selected Writings of Edgar Allan Poe,G.R. Thompson (Editor)
ENGL-801,9780312415204,The Critical Tradition: Classic Texts and Contemporary Trends,David H. Richter
ENGL-814,9780141439846,Dracula,Bram Stoker
ENGL-814,9780141439662,Sense and Sensibility,Jane Austen
ENGL-814,9780743477123,Hamlet,William Shakespeare
ENGL-814,9780141439556,Wuthering Heights,Emily Brontë
ENGL-814,9780451531490,"Le Morte D'Arthur: King Arthur and the Legends of the Round Table",Sir Thomas Malory
ENGL-868,9780316184137,The Complete Poems of Emily Dickinson,Thomas H. Johnson (Editor)
ENGL-868,9780674250703,Emily Dickinson: Selected Letters,Thomas H. Johnson (Editor)
ENGL-868,9780393974966,Leaves of Grass and Other Writings,Walt Whitman
ENVS-112,9780393935189,Earth: Portrait of a Planet,Stephen Marshak
ENVS-286,9781589483354,GIS Tutorial 1: Basic Workbook,"Wilpen L. Gorr, Kristen S. Kurland"
ENVS-303,9781589482074,GIS Tutorial 3: Advanced Workbook,"David W. Allen,Jeffery M. Coffey"
ENVS-303,9781589483378,GIS Tutorial 2: Spatial Analysis Workbook,David W. Allen
ENVS-303,9781589483354,GIS Tutorial 1: Basic Workbook,"Wilpen L. Gorr, Kristen S. Kurland"
FREN-101,9780073386454,Deux mondes,"Tracy Terrell, Mary Rogers, Betsy Kerr, Guy Spielmann"
